ADDRESS,SQFT,BEDS,BATHS,BTH_STYLE,KITCH_STYLE,PROPERTY_TYPE,YRS_SINCE_REMOD,HOA_FEES,NEIGHBORHOOD,PROPERTY_TYPE,AGE_OF_HOME,LIST_PRICE,DAYS_ON_MKT,AVE_PRICE_IN_NEIGHBORHOOD
150 Orleans St #306,948.0,2.0,1.0,S,S,Condo/Co-op,31.0,479.0,East Boston,Condo/Co-op,99.0,489000.0,31.0,577539.0482315114
31 Mendelssohn St #2,950.0,2.0,1.0,S,S,Condo/Co-op,29.0,125.0,Roslindale,Condo/Co-op,89.0,389000.0,36.0,523412.4187082406
188 Gold St #2,572.0,1.0,1.0,M,M,Condo/Co-op,14.0,119.0,South Boston,Condo/Co-op,129.0,399000.0,44.0,769346.4857594938
377 Marlborough St #1,605.0,1.0,1.0,S,M,Condo/Co-op,33.0,160.0,Back Bay,Condo/Co-op,33.0,599000.0,54.0,1160344.096196868
43 Charles St,2146.0,5.0,1.5,N,N,Single Family Residential,139.0,0.0,Hyde Park,Single Family Residential,139.0,399999.0,83.0,449727.45945945947
445 Main St #1,1069.0,2.0,2.0,M,M,Condo/Co-op,9.0,275.0,Charlestown,Condo/Co-op,144.0,749900.0,31.0,842946.4683301344
52 Hewins St #3,1179.0,3.0,1.0,M,M,Condo/Co-op,15.0,360.0,Dorchester,Condo/Co-op,109.0,295000.0,36.0,562529.161971831
62 Jamaica St #3,1007.0,2.0,1.0,M,M,Condo/Co-op,9.0,217.0,Jamaica Plain,Condo/Co-op,119.0,599000.0,40.0,663824.107776262
75 Highland St #3,1000.0,3.0,1.0,M,M,Condo/Co-op,17.0,175.0,Roxbury,Condo/Co-op,119.0,474900.0,44.0,537764.754385965
8 Hallam St #2,882.0,2.0,1.0,M,M,Condo/Co-op,13.0,250.0,Dorchester's Savin Hill,Condo/Co-op,114.0,449900.0,75.0,587871.7603305785
4370 Washington St #1,1107.0,2.0,2.0,M,M,Condo/Co-op,4.0,210.0,Roslindale,Condo/Co-op,104.0,485000.0,33.0,523412.4187082406
2 Minnie Ct,2100.0,2.0,1.5,M,M,Single Family Residential,17.0,0.0,South Boston,Single Family Residential,119.0,879000.0,25.0,769346.4857594938
411 Shawmut Ave #1,1116.0,1.0,2.0,M,M,Condo/Co-op,4.0,408.0,South End,Condo/Co-op,120.0,895000.0,40.0,1109405.737771739
32 Rutland Sq #3,652.0,1.0,1.0,M,S,Condo/Co-op,3.0,194.0,South End,Condo/Co-op,154.0,699000.0,22.0,1109405.737771739
15 N Beacon St #1003,778.0,1.0,1.0,M,M,Condo/Co-op,30.0,673.0,Allston,Condo/Co-op,30.0,449000.0,20.0,610009.9384615384
317 Cornell St,1440.0,3.0,3.5,M,M,Single Family Residential,7.0,0.0,Roslindale,Single Family Residential,119.0,599000.0,51.0,523412.4187082406
5170 Washington St #304,1258.0,2.0,2.0,M,M,Condo/Co-op,15.0,480.0,West Roxbury,Condo/Co-op,15.0,389000.0,57.0,585752.2868686869
19-21 Halborn St,2392.0,4.0,2.0,N,N,Multi-Family (2-4 Unit),84.0,0.0,Mattapan,Multi-Family (2-4 Unit),84.0,434999.0,20.0,448626.2718446602
121 Condor St #1,930.0,2.0,1.0,M,M,Condo/Co-op,13.0,200.0,East Boston,Condo/Co-op,13.0,474999.0,48.0,577539.0482315114
57 Bartlett St #4,730.0,2.0,1.0,M,M,Condo/Co-op,8.0,233.0,Charlestown,Condo/Co-op,18.0,649900.0,66.0,842946.4683301344
357 Commercial St #312,792.0,1.0,1.0,M,M,Condo/Co-op,32.0,304.0,North End,Condo/Co-op,32.0,474990.0,36.0,713586.6813186812
211 Wachusett St #2,870.0,2.0,1.0,M,M,Condo/Co-op,3.0,250.0,Jamaica Plain,Condo/Co-op,118.0,469000.0,36.0,663824.107776262
699 Hyde Park Ave #5,743.0,2.0,1.0,S,S,Condo/Co-op,14.0,250.0,Roslindale,Condo/Co-op,99.0,269000.0,29.0,523412.4187082406
25 Brighton St #2,1333.0,3.0,2.0,M,M,Townhouse,2.0,203.0,Charlestown,Townhouse,109.0,739000.0,43.0,842946.4683301344
1 Westinghouse Plz Unit C327,1529.0,1.0,1.0,M,M,Condo/Co-op,9.0,308.0,Hyde Park,Condo/Co-op,9.0,449900.0,48.0,449727.45945945947
74 Birch St #2,1100.0,2.0,1.5,M,M,Condo/Co-op,2.0,195.0,Roslindale,Condo/Co-op,109.0,489000.0,37.0,523412.4187082406
151 P St #1,2162.0,4.0,3.0,M,M,Condo/Co-op,11.0,265.0,South Boston,Condo/Co-op,93.0,1085000.0,51.0,769346.4857594938
34 Imbaro Rd,3024.0,4.0,3.5,M,M,Single Family Residential,17.0,0.0,Hyde Park's Readville,Single Family Residential,17.0,679900.0,44.0,511451.98
332 Jamaicaway #104,471.0,1.0,1.0,M,M,Condo/Co-op,19.0,275.0,Jamaica Plain,Condo/Co-op,99.0,309000.0,22.0,663824.107776262
199 E Cottage St #2,1707.0,3.0,1.5,M,M,Condo/Co-op,119.0,200.0,Dorchester,Condo/Co-op,119.0,569900.0,37.0,562529.161971831
12 Shipway Pl #12,1442.0,2.0,2.5,M,M,Townhouse,35.0,703.0,Charlestown,Townhouse,35.0,1198000.0,40.0,842946.4683301344
8 Manley St #2,1154.0,2.0,2.0,M,M,Condo/Co-op,5.0,150.0,Dorchester,Condo/Co-op,5.0,519999.0,50.0,562529.161971831
106 I St #1,694.0,1.0,1.0,M,M,Condo/Co-op,13.0,200.0,South Boston,Condo/Co-op,119.0,469900.0,50.0,769346.4857594938
71 Hilburn St #1,1900.0,2.0,3.0,M,M,Condo/Co-op,3.0,169.0,Roslindale,Condo/Co-op,95.0,599000.0,47.0,523412.4187082406
35 Eldridge Rd #210,980.0,2.0,1.0,M,M,Condo/Co-op,2.0,337.0,Jamaica Plain,Condo/Co-op,119.0,439900.0,39.0,663824.107776262
9 Appleton St #306,730.0,1.0,1.0,S,S,Condo/Co-op,44.0,267.0,South End,Condo/Co-op,139.0,659900.0,85.0,1109405.737771739
145 Birch St,2071.0,4.0,1.0,M,M,Single Family Residential,5.0,0.0,Roslindale,Single Family Residential,104.0,575000.0,44.0,523412.4187082406
254 E Cottage St #3,1993.0,4.0,2.0,M,M,Condo/Co-op,3.0,300.0,Dorchester,Condo/Co-op,114.0,649999.0,43.0,562529.161971831
31 Hayes Rd,2000.0,4.0,2.5,M,M,Single Family Residential,16.0,0.0,Roslindale,Single Family Residential,94.0,689000.0,61.0,523412.4187082406
14 Royal St #2,2320.0,6.0,3.0,L,L,Condo/Co-op,2.0,250.0,Allston,Condo/Co-op,119.0,899900.0,41.0,610009.9384615384
33 Mystic St #1,883.0,1.0,1.5,M,M,Condo/Co-op,34.0,125.0,Charlestown,Condo/Co-op,134.0,599000.0,45.0,842946.4683301344
32 Roseclair St #3,1200.0,3.0,2.0,M,M,Condo/Co-op,10.0,134.0,Dorchester,Condo/Co-op,114.0,599900.0,30.0,562529.161971831
59 Paragon Rd,1152.0,3.0,1.5,M,M,Single Family Residential,6.0,0.0,West Roxbury,Single Family Residential,54.0,449000.0,51.0,585752.2868686869
59 Brainerd Rd #501,777.0,1.0,1.0,M,M,Condo/Co-op,31.0,294.0,Allston,Condo/Co-op,31.0,524999.0,47.0,610009.9384615384
161 H St #2,605.0,1.0,1.0,M,M,Condo/Co-op,10.0,105.0,South Boston,Condo/Co-op,99.0,524000.0,85.0,769346.4857594938
165 Gallivan Blvd,960.0,4.0,1.0,M,S,Single Family Residential,69.0,0.0,Dorchester,Single Family Residential,69.0,484900.0,41.0,562529.161971831
1629 Commonwealth Ave #15,541.0,1.0,1.0,M,M,Condo/Co-op,89.0,353.0,Brighton,Condo/Co-op,89.0,324999.0,24.0,637503.5923344948
336 Saratoga St #6,1699.0,3.0,2.5,M,M,Condo/Co-op,13.0,268.0,East Boston,Condo/Co-op,96.0,549000.0,58.0,577539.0482315114
19 Hayes Rd,1620.0,3.0,2.5,M,S,Single Family Residential,2.0,0.0,Roslindale,Single Family Residential,104.0,649900.0,44.0,523412.4187082406
55 Paine St,1216.0,3.0,1.0,M,M,Single Family Residential,4.0,0.0,Roslindale,Single Family Residential,171.0,465000.0,37.0,523412.4187082406
289 Shawmut Ave #2,615.0,1.0,1.0,M,M,Condo/Co-op,20.0,168.0,South End,Condo/Co-op,100.0,690000.0,65.0,1109405.737771739
125 Charles St Unit R2,730.0,1.0,1.0,M,M,Condo/Co-op,11.0,178.0,Beacon Hill,Condo/Co-op,120.0,799000.0,48.0,1108321.586419753
160 Cottage St #402,482.0,2.0,1.0,M,M,Condo/Co-op,32.0,197.0,East Boston,Condo/Co-op,114.0,299000.0,32.0,577539.0482315114
47 Lourdes Ave #2,1106.0,3.0,2.0,M,M,Condo/Co-op,15.0,251.0,Jamaica Plain,Condo/Co-op,15.0,599900.0,37.0,663824.107776262
211 E Cottage St #2,1229.0,2.0,2.0,M,M,Condo/Co-op,2.0,230.0,Dorchester,Condo/Co-op,114.0,564000.0,41.0,562529.161971831
533 Cambridge St #106,772.0,1.0,1.0,M,M,Condo/Co-op,12.0,258.0,Allston,Condo/Co-op,12.0,525000.0,50.0,610009.9384615384
5 Eldridge Rd #2,773.0,1.0,1.0,M,M,Condo/Co-op,18.0,200.0,Jamaica Plain,Condo/Co-op,18.0,324999.0,28.0,663824.107776262
42-44 Washington St #5,877.0,1.0,1.0,M,M,Condo/Co-op,4.0,219.0,Charlestown,Condo/Co-op,2.0,624990.0,28.0,842946.4683301344
17 Grove St #2,474.0,1.0,1.0,M,M,Condo/Co-op,37.0,330.0,Beacon Hill,Condo/Co-op,129.0,499000.0,30.0,1108321.586419753
314 Sumner St #2,830.0,2.0,1.0,M,M,Condo/Co-op,109.0,189.0,East Boston's Jeffries Point,Condo/Co-op,109.0,619000.0,70.0,577752.3559322035
145-147 Willow St,2308.0,5.0,2.0,S,M,Multi-Family (2-4 Unit),94.0,0.0,West Roxbury's Bellevue Hill,Multi-Family (2-4 Unit),94.0,874999.0,35.0,721138.0294117647
240 Heath St #106,600.0,1.0,1.0,S,S,Condo/Co-op,35.0,188.0,Jamaica Plain,Condo/Co-op,109.0,349999.0,42.0,663824.107776262
11 Roanoke Ave,4800.0,8.0,5.5,S,S,Multi-Family (2-4 Unit),21.0,0.0,Jamaica Plain,Multi-Family (2-4 Unit),136.0,1499900.0,51.0,663824.107776262
19 Stellman Rd #2,934.0,2.0,1.0,M,M,Condo/Co-op,4.0,212.0,Roslindale,Condo/Co-op,94.0,392000.0,42.0,523412.4187082406
24 Merriam St #1,1209.0,2.0,2.0,M,M,Condo/Co-op,16.0,191.0,Jamaica Plain,Condo/Co-op,16.0,619000.0,75.0,663824.107776262
48 Anawan Ave,1917.0,4.0,2.5,M,M,Single Family Residential,5.0,0.0,West Roxbury's Bellevue Hill,Single Family Residential,104.0,724999.0,61.0,721138.0294117647
110 Park St #1,1424.0,3.0,2.0,M,M,Townhouse,4.0,234.0,West Roxbury,Townhouse,4.0,649000.0,37.0,585752.2868686869
12 Mohawk St #3,925.0,2.0,2.0,M,M,Condo/Co-op,6.0,172.0,South Boston,Condo/Co-op,6.0,725000.0,38.0,769346.4857594938
35 Gates St #1,1454.0,3.0,2.0,M,M,Condo/Co-op,14.0,294.0,South Boston,Condo/Co-op,129.0,799900.0,44.0,769346.4857594938
53 Hemlock Rd,1945.0,4.0,2.5,M,M,Single Family Residential,4.0,0.0,West Roxbury,Single Family Residential,89.0,599000.0,44.0,585752.2868686869
111 Navarre St,1574.0,3.0,2.0,M,M,Single Family Residential,4.0,0.0,Hyde Park,Single Family Residential,108.0,449000.0,49.0,449727.45945945947
251 Heath St #209,1290.0,1.0,2.0,M,M,Condo/Co-op,128.0,644.0,Jamaica Plain,Condo/Co-op,128.0,699000.0,54.0,663824.107776262
116 Sutherland Rd Unit 2A,834.0,2.0,1.0,S,S,Condo/Co-op,29.0,570.0,Brighton,Condo/Co-op,72.0,395000.0,57.0,637503.5923344948
371 Maverick St #2,1390.0,3.0,2.0,M,M,Condo/Co-op,9.0,188.0,East Boston's Jeffries Point,Condo/Co-op,9.0,624990.0,44.0,577752.3559322035
77 Pearl St #1,580.0,1.0,1.0,S,M,Condo/Co-op,13.0,100.0,Charlestown,Condo/Co-op,144.0,449000.0,44.0,842946.4683301344
61 Neponset Ave #3,1076.0,2.0,2.0,M,M,Condo/Co-op,11.0,200.0,Dorchester,Condo/Co-op,114.0,479000.0,49.0,562529.161971831
41 Morton St #15,805.0,2.0,1.0,S,S,Condo/Co-op,33.0,436.0,Jamaica Plain,Condo/Co-op,99.0,369000.0,63.0,663824.107776262
31 Concord Sq #3,683.0,1.0,1.0,M,M,Condo/Co-op,2.0,200.0,South End,Condo/Co-op,129.0,780000.0,40.0,1109405.737771739
145 Arlington St,1320.0,3.0,2.0,,,Single Family Residential,79.0,0.0,Brighton,Single Family Residential,79.0,699000.0,60.0,637503.5923344948
39 Boylston St #2,1472.0,2.0,1.0,S,M,Condo/Co-op,17.0,150.0,Jamaica Plain,Condo/Co-op,20.0,649900.0,33.0,663824.107776262
102 Bynner St #1,1129.0,2.0,1.0,M,M,Condo/Co-op,17.0,180.0,Jamaica Plain,Condo/Co-op,93.0,629000.0,40.0,663824.107776262
11 Rowena St #1,1251.0,2.0,1.5,M,M,Condo/Co-op,9.0,231.0,Dorchester's Ashmont,Condo/Co-op,119.0,589900.0,32.0,534712.0365853659
46 Symmes St #2,1053.0,3.0,1.5,M,M,Condo/Co-op,6.0,190.0,Roslindale,Condo/Co-op,119.0,499999.0,71.0,523412.4187082406
19 Church St,1767.0,3.0,2.0,M,S,Single Family Residential,15.0,0.0,Hyde Park,Single Family Residential,69.0,459000.0,65.0,449727.45945945947
312-A Savin Hill Ave #2,1278.0,2.0,2.0,M,M,Condo/Co-op,11.0,183.0,Dorchester's Savin Hill,Condo/Co-op,11.0,639000.0,61.0,587871.7603305785
34 Church St #3,1400.0,3.0,2.0,M,M,Condo/Co-op,13.0,200.0,Dorchester,Condo/Co-op,114.0,489000.0,52.0,562529.161971831
300 Commercial St #302,553.0,0.0,1.0,S,S,Condo/Co-op,119.0,327.0,Waterfront,Condo/Co-op,119.0,505000.0,43.0,1175421.3673469387
688 Tremont St #4,900.0,2.0,1.0,M,S,Condo/Co-op,9.0,147.0,South End,Condo/Co-op,119.0,849000.0,41.0,1109405.737771739
41-43 Port Norfolk St #2,1632.0,2.0,2.5,M,M,Condo/Co-op,15.0,255.0,Dorchester's Neponset,Condo/Co-op,119.0,489900.0,82.0,486415.3717948718
82 Worcester St #2,1776.0,3.0,2.5,M,M,Condo/Co-op,2.0,193.0,South End,Condo/Co-op,119.0,2175000.0,43.0,1109405.737771739
565 Massachusetts Ave #7,1238.0,3.0,2.0,S,S,Condo/Co-op,99.0,739.0,South End,Condo/Co-op,99.0,849000.0,54.0,1109405.737771739
950 Dorchester Ave #201,1266.0,1.0,1.0,M,S,Condo/Co-op,13.0,387.0,Dorchester,Condo/Co-op,120.0,439000.0,102.0,562529.161971831
13 Buttonwood St #2,1133.0,2.0,1.0,M,M,Condo/Co-op,18.0,295.0,Dorchester's Savin Hill,Condo/Co-op,114.0,449000.0,50.0,587871.7603305785
1 Concord Sq #5,1556.0,4.0,2.0,M,M,Condo/Co-op,18.0,467.0,South End,Condo/Co-op,120.0,1185000.0,36.0,1109405.737771739
11-13 Charme Ave #1,1291.0,2.0,2.0,M,M,Condo/Co-op,3.0,0.0,Roslindale,Condo/Co-op,109.0,459900.0,52.0,523412.4187082406
94 Orange St,1265.0,3.0,2.0,M,M,Single Family Residential,16.0,0.0,Roslindale,Single Family Residential,70.0,469900.0,72.0,523412.4187082406
481 Beech St,1098.0,2.0,1.5,S,S,Single Family Residential,110.0,0.0,Roslindale,Single Family Residential,110.0,399999.0,52.0,523412.4187082406
