DIFF_FROM_NEIGHBOR_AVE_LIST_PRICE,HOA_FEES,YRS_SINCE_REMOD,AGE_OF_HOME,PROPERTY_TYPE_Condo/Co-op,PROPERTY_TYPE_Multi-Family (2-4 Unit),BTH_STYLE_M,KITCH_STYLE_M,trend
-370346.48575949366,119.0,14.0,129.0,1,0,1,1,50.159076084991646
-561344.096196868,160.0,33.0,33.0,1,0,0,1,51.3171949018134
-214405.73777173905,408.0,4.0,120.0,1,0,1,1,52.12104274268022
-410405.73777173896,194.0,3.0,154.0,1,0,1,0,49.35953726574161
-161009.9384615384,673.0,30.0,30.0,1,0,1,1,51.3171949018134
75587.58129175943,0.0,7.0,119.0,0,0,1,1,52.502177730649684
-102540.04823151127,200.0,13.0,13.0,1,0,1,1,52.12104274268022
-238596.68131868128,304.0,32.0,32.0,1,0,1,1,52.12104274268022
7370.838028169004,200.0,119.0,119.0,1,0,1,1,49.76020481246014
-42530.161971831,150.0,5.0,5.0,1,0,1,1,52.502177730649684
51587.581291759445,0.0,5.0,104.0,0,0,1,1,53.82884980492944
87469.838028169,300.0,3.0,114.0,1,0,1,1,49.76020481246014
165587.58129175944,0.0,16.0,94.0,0,0,1,1,52.502177730649684
-85010.9384615384,294.0,31.0,31.0,1,0,1,1,50.57781073690932
-312504.5923344948,353.0,89.0,89.0,1,0,1,1,51.725453886390845
-28539.048231511264,268.0,13.0,96.0,1,0,1,1,52.502177730649684
-419405.73777173896,168.0,20.0,100.0,1,0,1,1,52.12104274268022
-278539.04823151126,197.0,32.0,114.0,1,0,1,1,52.502177730649684
1470.8380281690042,230.0,2.0,114.0,1,0,1,1,51.725453886390845
-85009.9384615384,258.0,12.0,12.0,1,0,1,1,49.35953726574161
-609321.5864197529,330.0,37.0,129.0,1,0,1,1,52.82029713961896
3860.970588235301,0.0,5.0,104.0,0,0,1,1,50.57781073690932
13247.713131313096,0.0,4.0,89.0,0,0,1,1,51.3171949018134
47237.64406779665,188.0,9.0,9.0,1,0,1,1,52.12104274268022
-83529.161971831,200.0,11.0,114.0,1,0,1,1,50.159076084991646
-294824.107776262,436.0,33.0,99.0,1,0,0,0,51.725453886390845
-23413.418708240555,190.0,6.0,119.0,1,0,1,1,51.3171949018134
51128.239669421455,183.0,11.0,11.0,1,0,1,1,51.725453886390845
-73529.161971831,200.0,13.0,114.0,1,0,1,1,49.76020481246014
-260405.73777173905,147.0,9.0,119.0,1,0,1,0,53.82884980492944
1065594.262228261,193.0,2.0,119.0,1,0,1,1,53.54438576992164
-260405.73777173905,739.0,99.0,99.0,1,0,0,0,53.74985170016183
-123529.161971831,387.0,13.0,120.0,1,0,1,0,53.74985170016183
-138871.76033057855,295.0,18.0,114.0,1,0,1,1,53.84929272353954
75594.26222826098,467.0,18.0,120.0,1,0,1,1,53.84929272353954
-63512.418708240555,0.0,3.0,109.0,1,0,1,1,53.84929272353954
-123413.41870824054,0.0,110.0,110.0,0,0,0,0,53.54438576992164
-178752.2868686869,0.0,9.0,68.0,0,0,1,1,53.84929272353954
-186752.2868686869,0.0,44.0,89.0,0,0,0,0,53.84929272353954
37470.83802816901,652.0,8.0,119.0,1,0,1,1,53.44233391370959
36470.83802816901,0.0,114.0,114.0,0,1,0,0,53.84929272353954
-6752.286868686904,0.0,99.0,99.0,0,0,1,1,53.44233391370959
63247.713131313096,0.0,10.0,77.0,0,0,1,1,53.658885394781244
-156752.2868686869,0.0,69.0,69.0,0,0,0,0,53.54438576992164
106470.838028169,250.0,119.0,119.0,1,0,1,1,53.658885394781244
-861091.737771739,149.0,13.0,119.0,1,0,1,1,53.82884980492944
241496.4076655052,1099.0,13.0,13.0,1,0,1,0,53.17250077097781
-206752.2868686869,0.0,2.0,63.0,0,0,1,1,53.54438576992164
-208412.41870824056,125.0,3.0,99.0,1,0,1,1,53.73336218674199
135175.89222373802,0.0,60.0,60.0,0,0,1,1,53.84929272353954
165175.89222373802,0.0,59.0,114.0,0,0,0,0,52.502177730649684
-330346.4857594937,297.0,10.0,132.0,1,0,1,1,53.658885394781244
-64412.418708240555,268.0,3.0,104.0,1,0,1,1,53.54438576992164
-146752.2868686869,0.0,94.0,94.0,0,0,0,0,53.84929272353954
29653.514240506338,251.0,2.0,107.0,1,0,1,0,53.44233391370959
-42629.161971831,110.0,14.0,114.0,1,0,1,1,53.44233391370959
-43046.46833013441,0.0,2.0,139.0,0,0,1,1,53.658885394781244
-180346.48575949366,210.0,19.0,119.0,1,0,0,0,53.54438576992164
